Periodo;Ingresos;Gastos;FK_TipoProducto;FK_Region
Q1 2017;66319,70378;56708,15251;7;1
Q1 2017;88128,95446;73914,60697;7;2
Q1 2017;419500,7374;343227,876;7;6
Q1 2017;54365,02453;39867,68465;7;3
Q1 2017;21115,39872;18300,01222;7;4
Q1 2017;33098,74052;29501,05133;7;5
Q1 2017;986432,958;878033,7318;7;7
Q1 2017;16629,95817;13712,42165;7;8
Q1 2017;42928,91758;38548,41579;7;9
Q1 2017;3076128,817;2906941,732;7;10
Q1 2017;55838,48785;50198,23656;7;11
Q1 2017;110701,5956;86636,03135;7;12
Q1 2017;10789,54433;9577,235978;7;13
Q1 2017;19938,29314;16377,88365;7;14
Q1 2017;1026702,586;801450,2609;7;15
Q1 2017;23398,26598;22395,48315;7;16
Q1 2017;98911,30769;81087,08633;7;17
Q1 2017;32386,53526;27598,40828;7;18
Q1 2017;197689,5676;178744,3173;7;19
Q1 2017;92850,03626;92720,47807;7;20
Q1 2017;18661,79039;19146,99694;7;21
Q1 2017;150547,1377;141077,2371;7;22
Q1 2017;145897,2754;142909,2263;7;23
Q1 2017;33644,90349;30646,12689;7;24
Q1 2017;40241,16376;43044,3461;7;25
Q1 2017;19855,02115;20187,27549;7;26
Q1 2017;535072,6557;555477,7397;7;27
Q1 2017;1216075,733;1074671,578;7;28
Q1 2017;9492,261111;8401,196616;7;29
Q1 2017;169782,2344;152096,585;7;30
Q1 2017;21769,3082;18141,09017;7;31
Q1 2017;129895,3573;103916,2858;7;32
Q1 2017;282210,0244;252187,6814;7;33
Q1 2017;112380,9364;99491,81419;7;34
Q1 2017;103534,9352;82647,88739;7;35
Q1 2017;282169,0774;248386,0947;7;36
Q1 2017;65244,02259;58904,88113;7;37
Q1 2017;359747,853;310490,07;7;38
Q1 2017;11568,62316;10407,36769;7;39
Q1 2017;82855,93013;67113,30341;7;40
Q1 2017;222194,0258;200950,1092;7;41
Q1 2017;77344,86095;71060,591;7;42
Q1 2017;20399,98276;18141,20206;7;43
Q1 2017;315847,6937;261391,1947;7;44
Q1 2017;86313,83858;63872,24055;7;45
Q1 2017;17514,84937;15709,1948;7;46
Q1 2017;19522,42699;16213,54106;7;47
Q1 2017;160307,3105;130620,7715;7;48
Q1 2017;178934,3831;157113,1169;7;49
Q1 2017;117215,8414;96284,44114;7;50
Q1 2017;107692,3711;88798,97267;7;51
Q1 2017;3255574,449;2681523,882;7;52
Q1 2017;72718,28657;64547,69258;7;53
Q1 2017;64569,90683;56973,4472;7;54
Q1 2017;138475,1878;110384,5068;7;55
Q1 2017;10220,62461;8451,949147;7;56
Q1 2018;68775,98911;58510,91611;7;1
Q1 2018;88128,95446;74776,08257;7;2
Q1 2018;52868,73945;42049,09045;7;3
Q1 2018;18579,96623;15630,76524;7;4
Q1 2018;31525,60646;26599,73045;7;5
Q1 2018;443702,703;392109,3654;7;6
Q1 2018;1025815,262;894300,4851;7;7
Q1 2018;18974,7462;17058,10517;7;8
Q1 2018;47351,89697;41577,27539;7;9
Q1 2018;2447334,38;2168185,302;7;10
Q1 2018;53875,41602;45043,3806;7;11
Q1 2018;106664,4933;94115,72937;7;12
Q1 2018;9601,704587;7467,992457;7;13
Q1 2018;19575,1184;15410,19959;7;14
Q1 2018;1348994,563;1117632,756;7;15
Q1 2018;21781,4952;20583,51297;7;16
Q1 2018;82729,12684;72498,67989;7;17
Q1 2018;33601,78987;33605,65214;7;18
Q1 2018;198841,1573;192591,8638;7;19
Q1 2018;88140,25181;69669,12078;7;20
Q1 2018;17880,96234;16250,63931;7;21
Q1 2018;149404,4649;121602,2427;7;22
Q1 2018;152016,5872;127751,3955;7;23
Q1 2018;31091,21063;27715,27045;7;24
Q1 2018;40153,49237;34721,3426;7;25
Q1 2018;19119,65;17275,72458;7;26
Q1 2018;475620,1384;477442,8023;7;27
Q1 2018;1987718,589;1626315,209;7;28
Q1 2018;10882,84713;9328,154686;7;29
Q1 2018;199357,2043;176957,5184;7;30
Q1 2018;19101,0856;16484,49853;7;31
Q1 2018;121188,6033;95940,97758;7;32
Q1 2018;241894,3067;189308,5878;7;33
Q1 2018;97240,43074;88853,44359;7;34
Q1 2018;108350,5136;98183,37633;7;35
Q1 2018;277865,8453;251450,5468;7;36
Q1 2018;69073,56304;64580,29288;7;37
Q1 2018;338162,9818;293074,5842;7;38
Q1 2018;11642,15254;10696,22765;7;39
Q1 2018;69122,06922;52131,35259;7;40
Q1 2018;187854,9491;172059,7983;7;41
Q1 2018;81374,85371;64701,6656;7;42
Q1 2018;22851,48283;20877,94568;7;43
Q1 2018;280821,7821;249962,2456;7;44
Q1 2018;92310,37895;69484,53979;7;45
Q1 2018;16193,61315;14117,5089;7;46
Q1 2018;19168,11797;16772,10322;7;47
Q1 2018;176302,4967;142398,1704;7;48
Q1 2018;164349,2744;143005,2127;7;49
Q1 2018;133481,4758;117777,7727;7;50
Q1 2018;103109,717;91778,97889;7;51
Q1 2018;2914457,333;2503278,348;7;52
Q1 2018;74971,95248;60271,56964;7;53
Q1 2018;68998,37389;60784,28176;7;54
Q1 2018;135056,0473;107538,3777;7;55
Q1 2018;9939,323017;8662,112632;7;56
Q1 2019;58136,60958;51297,00845;7;1
Q1 2019;100965,1283;84137,60688;7;2
Q1 2019;63746,59956;51067,33085;7;3
Q1 2019;22981,92869;19602,2333;7;4
Q1 2019;39740,12179;33004,50792;7;5
Q1 2019;388136,1963;322350,4003;7;6
Q1 2019;1193758,469;1044538,66;7;7
Q1 2019;17815,39308;15668,96017;7;8
Q1 2019;44058,62594;39217,01869;7;9
Q1 2019;1664384,381;1529153,15;7;10
Q1 2019;55501,43461;48894,12096;7;11
Q1 2019;108965,1;91939,30313;7;12
Q1 2019;9462,801085;8362,475377;7;13
Q1 2019;23362,47826;20953,97535;7;14
Q1 2019;2249092,929;1656573,275;7;15
Q1 2019;24669,91087;21991,4634;7;16
Q1 2019;97202,25702;85395,04168;7;17
Q1 2019;34708,82558;29129,70325;7;18
